Player_Name,Year,Matches_Batted,Runs_Scored,Batting_Average,Batting_Strike_Rate,Balls_Faced,Matches_Bowled,Balls_Bowled,Wickets_Taken,Bowling_Average,Economy_Rate,Batsman_Type,Bowler_Type,Batsman_Dominance,Bowler_Dominance,Rolling_Avg_Runs
Jaydev Unadkat,2015.0,1,0.0,0.0,0.0,0.0,1,18,0.0,0.0,10.0,Anchor,Pace,0.0,,0.6666666666666666
Jaydev Unadkat,2014.0,9,1.0,1.0,16.66,6.0,9,187,9.0,30.0,8.66,Anchor,Pace,1.9237875288683604,30.0,0.3333333333333333
Jaydev Unadkat,2013.0,13,2.0,0.0,100.0,2.0,13,294,13.0,28.46,7.55,Anchor,Spin,13.245033112582782,inf,1.0
Jaydev Unadkat,2012.0,1,0.0,0.0,0.0,0.0,1,18,0.0,0.0,10.66,Anchor,Pace,0.0,,1.0
Jaydev Unadkat,2011.0,7,0.0,0.0,0.0,0.0,7,108,6.0,25.0,8.33,Anchor,Spin,0.0,inf,0.6666666666666666
Jaydev Unadkat,2010.0,3,0.0,0.0,0.0,0.0,3,62,4.0,21.25,8.22,Anchor,Spin,0.0,inf,0.0
Jitesh Sharma,2024.0,14,187.0,17.0,131.69,142.0,14,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,187.0
Jitesh Sharma,2023.0,14,309.0,23.77,156.06,198.0,14,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,248.0
Jitesh Sharma,2022.0,12,234.0,29.25,163.64,143.0,12,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,243.33333333333334
Jofra Archer,2020.0,14,113.0,18.83,179.36,63.0,14,334,20.0,18.25,6.55,Aggressive,Spin,27.383206106870233,0.9691980881571961,113.0
Jofra Archer,2019.0,11,67.0,33.5,167.5,40.0,11,258,11.0,26.45,6.76,Aggressive,Spin,24.77810650887574,0.7895522388059701,90.0
Jofra Archer,2018.0,10,15.0,3.0,71.42,21.0,10,233,15.0,21.66,8.36,Anchor,Spin,8.543062200956939,7.22,65.0
Jos Buttler,2024.0,11,359.0,39.89,140.78,255.0,11,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,359.0
Jos Buttler,2023.0,14,392.0,28.0,139.01,282.0,14,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,375.5
Jos Buttler,2022.0,17,863.0,57.53,149.05,579.0,17,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,538.0
Jos Buttler,2021.0,7,254.0,36.28,153.01,166.0,7,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,503.0
Jos Buttler,2020.0,13,328.0,32.8,144.49,227.0,13,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,481.6666666666667
Jos Buttler,2019.0,8,311.0,38.87,151.7,205.0,8,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,297.6666666666667
Jos Buttler,2018.0,13,548.0,54.8,155.24,353.0,13,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,395.6666666666667
Jos Buttler,2017.0,10,272.0,27.2,153.67,177.0,10,0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,377.0
Jos Buttler,2016.0,14,255.0,23.18,138.58,184.0,14,0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,358.3333333333333
Josh Hazlewood,2021.0,9,0.0,0.0,0.0,0.0,9,210,11.0,26.63,8.37,Anchor,Spin,0.0,inf,0.0
Josh Hazlewood,2020.0,3,0.0,0.0,0.0,0.0,3,60,1.0,64.0,6.4,Anchor,Spin,0.0,inf,0.0
Josh Inglis,,,,,,,,,,,,Anchor,Spin,,,
KL Rahul,2024.0,14,520.0,37.14,136.13,382.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,520.0
KL Rahul,2023.0,9,274.0,34.25,113.22,242.0,9.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,397.0
KL Rahul,2022.0,15,616.0,51.33,135.38,455.0,15.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,470.0
KL Rahul,2021.0,13,626.0,62.6,138.8,451.0,13.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,505.3333333333333
KL Rahul,2020.0,14,670.0,55.83,129.34,518.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,637.3333333333334
KL Rahul,2019.0,14,593.0,53.9,135.38,438.0,14.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,629.6666666666666
KL Rahul,2018.0,14,659.0,54.91,158.41,416.0,14.0,0.0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,640.6666666666666
KL Rahul,2016.0,14,397.0,44.11,146.49,271.0,14.0,0.0,0.0,0.0,0.0,Aggressive,Spin,inf,0.0,549.6666666666666
KL Rahul,2015.0,9,142.0,28.4,112.69,126.0,9.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,399.3333333333333
KL Rahul,2014.0,11,166.0,20.75,101.21,164.0,11.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,235.0
KL Rahul,2013.0,5,20.0,10.0,125.0,16.0,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,inf,0.0,109.33333333333333
Kagiso Rabada,2024.0,11,20.0,20.0,142.86,14.0,11,252,11.0,33.82,8.86,Aggressive,Pace,16.124153498871333,1.691,20.0
Kagiso Rabada,2023.0,6,0.0,0.0,0.0,2.0,6,138,7.0,33.14,10.09,Anchor,Pace,0.0,inf,10.0
Kagiso Rabada,2022.0,13,48.0,9.6,111.63,43.0,13,288,23.0,17.65,8.46,Anchor,Spin,13.195035460992907,1.8385416666666665,22.666666666666668
Kagiso Rabada,2021.0,15,13.0,13.0,216.66,6.0,15,336,15.0,30.4,8.14,Aggressive,Spin,26.616707616707615,2.338461538461538,20.333333333333332
Kagiso Rabada,2020.0,17,56.0,14.0,114.28,49.0,17,394,30.0,18.26,8.34,Anchor,Spin,13.70263788968825,1.3042857142857145,39.0
Kagiso Rabada,2019.0,12,14.0,4.66,93.33,15.0,12,282,25.0,14.72,7.82,Anchor,Spin,11.934782608695652,3.1587982832618025,27.666666666666668
Kagiso Rabada,2017.0,6,55.0,18.33,85.93,64.0,6,128,6.0,31.33,8.81,Anchor,Pace,9.753688989784337,1.7092198581560285,41.666666666666664
Kamindu Mendis,,,,,,,,,,,,Anchor,Spin,,,
Kamlesh Nagarkoti,2022.0,1,0.0,0.0,0.0,0.0,1,12,0.0,0.0,14.5,Anchor,Pace,0.0,,0.0
Kamlesh Nagarkoti,2021.0,1,0.0,0.0,0.0,2.0,1,12,0.0,0.0,12.5,Anchor,Pace,0.0,,0.0
