Player_Name,Year,Matches_Batted,Runs_Scored,Batting_Average,Batting_Strike_Rate,Balls_Faced,Matches_Bowled,Balls_Bowled,Wickets_Taken,Bowling_Average,Economy_Rate,Batsman_Type,Bowler_Type,Batsman_Dominance,Bowler_Dominance,Rolling_Avg_Runs
Phil Salt,2023.0,9,218.0,27.25,163.91,133.0,9,0,0.0,0.0,0.0,Aggressive,Spin,1639100.0,0.0,326.5
Prabhsimran Singh,2024.0,14,334.0,23.86,156.81,213.0,14.0,0.0,0.0,0.0,0.0,Aggressive,Spin,1568100.0,0.0,334.0
Prabhsimran Singh,2023.0,14,358.0,25.57,150.42,238.0,14.0,0.0,0.0,0.0,0.0,Aggressive,Spin,1504199.9999999998,0.0,346.0
Prabhsimran Singh,2022.0,1,14.0,14.0,127.27,11.0,1.0,0.0,0.0,0.0,0.0,Anchor,Spin,1272700.0,0.0,235.33333333333334
Prabhsimran Singh,2021.0,2,19.0,9.5,82.6,23.0,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,825999.9999999999,0.0,181.25
Prabhsimran Singh,2020.0,2,15.0,7.5,100.0,15.0,2.0,0.0,0.0,0.0,0.0,Anchor,Spin,1000000.0,0.0,148.0
Prabhsimran Singh,2019.0,1,16.0,16.0,94.11,17.0,1.0,0.0,0.0,0.0,0.0,Anchor,Spin,941100.0,0.0,126.0
Prasidh Krishna,2022.0,17,6.0,6.0,50.0,12.0,17,399,19.0,29.0,8.29,Anchor,Spin,6.031290334254111,4.833252779120349,6.0
Prasidh Krishna,2021.0,10,0.0,0.0,0.0,1.0,10,231,12.0,29.25,9.11,Anchor,Pace,0.0,292500.0,3.0
Prasidh Krishna,2020.0,6,2.0,0.0,50.0,4.0,6,105,4.0,41.0,9.37,Anchor,Pace,5.3361223466131635,410000.0,2.6666666666666665
Prasidh Krishna,2019.0,11,0.0,0.0,0.0,2.0,11,242,4.0,94.25,9.34,Anchor,Pace,0.0,942500.0,2.0
Prasidh Krishna,2018.0,7,1.0,0.0,20.0,5.0,7,168,10.0,26.0,9.28,Anchor,Pace,2.155149190202692,260000.0,1.8
Pravin Dubey,2023.0,1,16.0,16.0,80.0,20.0,1,18,1.0,19.0,6.33,Anchor,Spin,12.638030994771015,1.1874925781713865,16.0
Pravin Dubey,2020.0,3,7.0,0.0,53.84,13.0,3,48,0.0,0.0,9.0,Anchor,Pace,5.982155753824958,0.0,11.5
Prince Yadav,,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,Anchor,Spin,0.0,0.0,0.0
Priyansh Arya,,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,Anchor,Spin,0.0,0.0,0.0
Pyla Avinash,,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,Anchor,Spin,0.0,0.0,0.0
Quinton de Kock,2024.0,11,250.0,22.73,134.41,186.0,11.0,0.0,0.0,0.0,0.0,Anchor,Spin,1344100.0,0.0,250.0
Quinton de Kock,2023.0,4,143.0,35.75,140.2,102.0,4.0,0.0,0.0,0.0,0.0,Aggressive,Spin,1401999.9999999998,0.0,196.5
Quinton de Kock,2022.0,15,508.0,36.29,148.97,341.0,15.0,0.0,0.0,0.0,0.0,Aggressive,Spin,1489700.0,0.0,300.3333333333333
Quinton de Kock,2021.0,11,297.0,29.7,116.01,256.0,11.0,0.0,0.0,0.0,0.0,Anchor,Spin,1160100.0,0.0,299.5
Quinton de Kock,2020.0,16,503.0,35.92,140.5,358.0,16.0,0.0,0.0,0.0,0.0,Aggressive,Spin,1405000.0,0.0,340.2
Quinton de Kock,2019.0,16,529.0,35.26,132.91,398.0,16.0,0.0,0.0,0.0,0.0,Anchor,Spin,1329100.0,0.0,371.6666666666667
Quinton de Kock,2018.0,8,201.0,25.12,124.07,162.0,8.0,0.0,0.0,0.0,0.0,Anchor,Spin,1240699.9999999998,0.0,347.2857142857143
Quinton de Kock,2016.0,13,445.0,37.08,136.08,327.0,13.0,0.0,0.0,0.0,0.0,Anchor,Spin,1360800.0,0.0,359.5
Quinton de Kock,2015.0,3,122.0,40.66,158.44,77.0,3.0,0.0,0.0,0.0,0.0,Aggressive,Spin,1584400.0,0.0,333.1111111111111
Quinton de Kock,2014.0,7,153.0,21.85,117.69,130.0,7.0,0.0,0.0,0.0,0.0,Anchor,Spin,1176900.0,0.0,315.1
Quinton de Kock,2013.0,3,6.0,2.0,40.0,15.0,0.0,0.0,0.0,0.0,0.0,Anchor,Spin,400000.0,0.0,287.0
Rachin Ravindra,2024.0,10,222.0,22.2,160.87,138.0,10,12,0.0,0.0,3.5,Aggressive,Spin,45.961543955886974,0.0,222.0
Rahmanullah Gurbaz,2024.0,2,62.0,31.0,134.78,46.0,2,0,0.0,0.0,0.0,Anchor,Spin,1347800.0,0.0,62.0
Rahmanullah Gurbaz,2023.0,11,227.0,20.64,133.53,170.0,11,0,0.0,0.0,0.0,Anchor,Spin,1335300.0,0.0,144.5
Rahul Chahar,2024.0,9,21.0,21.0,140.0,15.0,9,186,10.0,27.9,9.0,Anchor,Pace,15.5553827179698,1.3285651020709424,21.0
Rahul Chahar,2023.0,14,0.0,0.0,0.0,9.0,14,298,8.0,48.13,7.75,Anchor,Spin,0.0,481300.0,10.5
Rahul Chahar,2022.0,13,77.0,12.83,113.24,68.0,13,280,14.0,25.71,7.71,Anchor,Spin,14.687228440616853,2.0038814974162324,32.666666666666664
Rahul Chahar,2021.0,11,14.0,2.8,93.33,15.0,11,258,13.0,24.46,7.39,Anchor,Spin,12.629057793534594,8.735402307060463,28.0
Rahul Chahar,2020.0,15,2.0,0.0,50.0,4.0,15,318,15.0,28.86,8.16,Anchor,Spin,6.127375890001348,288600.0,22.8
Rahul Chahar,2019.0,13,12.0,6.0,109.09,11.0,13,282,13.0,23.69,6.55,Anchor,Spin,16.654707561716616,3.9482675288745193,21.0
